Province,Year,Week,StartDate,EndDate,Districts,Dengue,Dysentery,Encephalitis,Enteric Fever,Food Poisioning,Leptospirosis,Typhus Fever,Viral Hepatistis,Human Rabies,Chickenpox,Meningitis,Leishmaniasis
Western,2006,52,2006-12-23,2006-12-29,Colombo,71,2,0,0,0,1,0,0,NA,NA,NA,NA
Western,2006,52,2006-12-23,2006-12-29,Gampaha,12,0,0,0,0,0,0,0,NA,NA,NA,NA
Western,2006,52,2006-12-23,2006-12-29,Kalutara,12,6,1,0,11,2,0,0,NA,NA,NA,NA
Central,2006,52,2006-12-23,2006-12-29,Kandy,20,5,0,0,0,1,4,0,NA,NA,NA,NA
Central,2006,52,2006-12-23,2006-12-29,Matale,4,0,0,0,0,0,0,1,NA,NA,NA,NA
Central,2006,52,2006-12-23,2006-12-29,NuwaraEliya,1,1,0,0,0,0,0,1,NA,NA,NA,NA
Southern,2006,52,2006-12-23,2006-12-29,Galle,1,2,0,0,0,0,0,0,NA,NA,NA,NA
Southern,2006,52,2006-12-23,2006-12-29,Hambanthota,1,1,0,1,0,0,2,0,NA,NA,NA,NA
Southern,2006,52,2006-12-23,2006-12-29,Matara,11,3,2,2,0,6,6,0,NA,NA,NA,NA
Nothern,2006,52,2006-12-23,2006-12-29,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2006,52,2006-12-23,2006-12-29,Kilinochchi,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2006,52,2006-12-23,2006-12-29,Mannar,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2006,52,2006-12-23,2006-12-29,Vavuniya,3,0,0,0,1,0,0,0,NA,NA,NA,NA
Nothern,2006,52,2006-12-23,2006-12-29,Mullaitivu,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2006,52,2006-12-23,2006-12-29,Batticaloa,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2006,52,2006-12-23,2006-12-29,Ampara,0,2,0,0,0,0,0,0,NA,NA,NA,NA
Eastern,2006,52,2006-12-23,2006-12-29,Trincomalee,0,2,0,2,0,1,0,0,NA,NA,NA,NA
NorthWestern,2006,52,2006-12-23,2006-12-29,Kurunagala,16,4,0,2,0,0,1,0,NA,NA,NA,NA
NorthWestern,2006,52,2006-12-23,2006-12-29,Puttalam,6,1,2,0,0,0,0,0,NA,NA,NA,NA
NorthCentral,2006,52,2006-12-23,2006-12-29,Anuradhapura,4,4,3,0,0,1,2,2,NA,NA,NA,NA
NorthCentral,2006,52,2006-12-23,2006-12-29,Polonnaruwa,1,5,0,0,0,0,0,0,NA,NA,NA,NA
Uva,2006,52,2006-12-23,2006-12-29,Badulla,2,1,0,0,0,1,0,3,NA,NA,NA,NA
Uva,2006,52,2006-12-23,2006-12-29,Monaragala,0,4,0,0,0,1,0,0,NA,NA,NA,NA
Sabaragamuwa,2006,52,2006-12-23,2006-12-29,Ratnapura,1,8,1,1,0,1,1,1,NA,NA,NA,NA
Sabaragamuwa,2006,52,2006-12-23,2006-12-29,Kegalle,1,1,0,0,0,3,0,0,NA,NA,NA,NA
Eastern,2006,52,2006-12-23,2006-12-29,Kalmune,0,2,0,0,0,0,0,2,NA,NA,NA,NA
Western,2007,1,2006-12-30,2007-01-05,Colombo,40,5,1,2,0,3,0,1,NA,NA,NA,NA
Western,2007,1,2006-12-30,2007-01-05,Gampaha,11,11,0,0,0,0,0,2,NA,NA,NA,NA
Western,2007,1,2006-12-30,2007-01-05,Kalutara,20,4,0,1,1,3,0,1,NA,NA,NA,NA
Central,2007,1,2006-12-30,2007-01-05,Kandy,41,9,0,0,0,1,2,4,NA,NA,NA,NA
Central,2007,1,2006-12-30,2007-01-05,Matale,2,6,0,0,0,1,0,8,NA,NA,NA,NA
Central,2007,1,2006-12-30,2007-01-05,NuwaraEliya,4,6,0,1,0,2,2,6,NA,NA,NA,NA
Southern,2007,1,2006-12-30,2007-01-05,Galle,10,5,0,0,0,3,1,0,NA,NA,NA,NA
Southern,2007,1,2006-12-30,2007-01-05,Hambanthota,1,0,0,0,1,1,1,0,NA,NA,NA,NA
Southern,2007,1,2006-12-30,2007-01-05,Matara,8,8,0,2,0,7,9,0,NA,NA,NA,NA
Nothern,2007,1,2006-12-30,2007-01-05,Jaffna,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,1,2006-12-30,2007-01-05,Kilinochchi,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,1,2006-12-30,2007-01-05,Mannar,2,2,0,0,0,0,0,0,NA,NA,NA,NA
Nothern,2007,1,2006-12-30,2007-01-05,Vavuniya,3,3,0,1,0,0,0,0,NA,NA,NA,NA
